causa_de_muerte;sexo;periodo;muertes;poblacion;tasa_mortalidad;causa_muerte_categoría
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2006;652;4230548;15.41;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2007;672;4273845;15.72;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2008;706;4326531;16.32;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2009;795;4405185;18.05;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2010;808;4485264;18.01;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2011;811;4576443;17.72;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2012;828;4652634;17.8;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2013;874;4717212;18.53;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2014;903;4805632;18.79;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2015;1067;4880385;21.86;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2016;980;4931332;19.87;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2017;1024;4995025;20.5;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2018;976;5063964;19.27;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2019;1031;5136347;20.07;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2020;1098;5219522;21.04;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2021;1144;5272727;21.7;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2022;1291;5363899;24.07;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2023;1144;5610155;20.39;III. Sangre
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1980;1981;1684490;117.6;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1981;2094;1721573;121.63;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1982;2104;1748866;120.31;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1983;2356;1777165;132.57;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1984;2582;1804686;143.07;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1985;2471;1833591;134.76;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1986;2596;1879026;138.16;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1987;2690;1940681;138.61;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1988;2704;2007437;134.7;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1989;2806;2072463;135.39;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1990;2905;2136519;135.97;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1991;2990;2197924;136.04;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1992;2823;2264728;124.65;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1993;3016;2328741;129.51;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1994;3048;2397576;127.13;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1995;3173;2466010;128.67;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1996;3208;2540147;126.29;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1997;3294;2609082;126.25;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1998;3622;2683704;134.96;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;1999;3682;2753555;133.72;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2000;3514;2810300;125.04;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2001;3757;2872106;130.81;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2002;3799;2940001;129.22;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2003;4104;2989967;137.26;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2004;3943;3013230;130.86;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2005;4104;3020568;135.87;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2006;3765;3093602;121.7;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2007;4259;3133315;135.93;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2008;4269;3179764;134.26;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2009;4310;3252782;132.5;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2010;4412;3325137;132.69;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2011;4529;3406554;132.95;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2012;4542;3475406;130.69;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2013;4366;3535710;123.48;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2014;4686;3617044;129.55;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2015;5197;3684229;141.06;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2016;4757;3732871;127.44;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2017;5015;3789274;132.35;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2018;5200;3854490;134.91;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2019;5173;3920576;131.94;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2020;5951;3991916;149.08;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2021;5873;4038757;145.42;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2022;6177;4117903;150.00;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;2023;6214;4298082;144.58;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1980;4192;2443783;171.54;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1981;4461;2507533;177.9;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1982;4666;2558996;182.34;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1983;5030;2610435;192.69;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1984;5127;2661599;192.63;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1985;5442;2708744;200.9;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1986;5631;2774358;202.97;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1987;5692;2838657;200.52;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1988;5894;2922024;201.71;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1989;5902;2996228;196.98;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1990;5974;3074174;194.33;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1991;6134;3150162;194.72;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1992;5829;3228046;180.57;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1993;6080;3304288;184;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1994;6124;3387822;180.77;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1995;6326;3470349;182.29;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1996;6235;3560364;175.12;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1997;6100;3640110;167.58;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1998;6476;3728866;173.67;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;1999;6626;3812216;173.81;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2000;6283;3881389;161.88;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2001;6421;3954545;162.37;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2002;6744;4040546;166.91;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2003;6949;4102873;169.37;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2004;6831;4133445;165.26;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2005;7158;4149317;172.51;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2006;6636;4230548;156.86;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2007;6815;4273845;159.46;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2008;6896;4326531;159.39;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2009;6986;4405185;158.59;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2010;7042;4485264;157;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2011;7166;4576443;156.58;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2012;7188;4652634;154.49;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2013;6774;4717212;143.6;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2014;7220;4805632;150.24;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2015;7751;4880385;158.82;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2016;6834;4931332;138.58;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2017;7289;4995025;145.93;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2018;7213;5063964;142.44;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2019;7126;5136347;138.74;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2020;8161;5219522;156.36;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2021;8009;5272727;151.89;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2022;8485;5363899;158.19;IV. Metabólicas
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;2023;7968;5610155;142.03;IV. Metabólicas
046-049 V.Trastornos mentales y del comportamiento;Hombres;1980;230;1684490;13.65;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1981;270;1721573;15.68;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1982;266;1748866;15.21;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1983;432;1777165;24.31;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1984;494;1804686;27.37;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1985;664;1833591;36.21;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1986;791;1879026;42.1;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1987;975;1940681;50.24;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1988;1149;2007437;57.24;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1989;1510;2072463;72.86;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1990;1766;2136519;82.66;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1991;2008;2197924;91.36;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1992;2216;2264728;97.85;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1993;2369;2328741;101.73;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1994;2767;2397576;115.41;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1995;3001;2466010;121.69;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1996;3309;2540147;130.27;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1997;3399;2609082;130.28;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1998;3788;2683704;141.15;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;1999;3643;2753555;132.3;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2000;3499;2810300;124.51;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2001;3490;2872106;121.51;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2002;3555;2940001;120.92;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2003;3894;2989967;130.24;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2004;3655;3013230;121.3;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2005;3771;3020568;124.84;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2006;3843;3093602;124.22;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2007;3923;3133315;125.2;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2008;4091;3179764;128.66;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2009;4592;3252782;141.17;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2010;4717;3325137;141.86;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2011;4939;3406554;144.99;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2012;5500;3475406;158.25;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2013;5493;3535710;155.36;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2014;6089;3617044;168.34;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2015;6922;3684229;187.88;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2016;6916;3732871;185.27;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2017;7189;3789274;189.72;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2018;7358;3854490;190.89;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2019;7624;3920576;194.46;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2020;6877;3991916;172.27;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2021;6824;4038757;168.96;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2022;7267;4117903;176.47;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Hombres;2023;7142;4298082;166.17;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1980;293;2443783;11.99;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1981;352;2507533;14.04;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1982;351;2558996;13.72;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1983;641;2610435;24.56;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1984;805;2661599;30.24;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1985;1050;2708744;38.76;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1986;1306;2774358;47.07;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1987;1680;2838657;59.18;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1988;1911;2922024;65.4;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1989;2463;2996228;82.2;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1990;3225;3074174;104.91;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1991;4000;3150162;126.98;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1992;4164;3228046;128.99;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1993;4707;3304288;142.45;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1994;5269;3387822;155.53;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1995;5969;3470349;172;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1996;6497;3560364;182.48;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1997;6985;3640110;191.89;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1998;7614;3728866;204.19;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;1999;7445;3812216;195.29;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2000;7303;3881389;188.15;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2001;7431;3954545;187.91;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2002;7658;4040546;189.53;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2003;8625;4102873;210.22;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2004;7704;4133445;186.38;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2005;8290;4149317;199.79;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2006;7844;4230548;185.41;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2007;8012;4273845;187.47;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2008;8525;4326531;197.04;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2009;9423;4405185;213.91;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2010;9654;4485264;215.24;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2011;9940;4576443;217.2;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2012;11197;4652634;240.66;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2013;11116;4717212;235.65;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2014;12241;4805632;254.72;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2015;14021;4880385;287.29;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2016;13721;4931332;278.24;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2017;14223;4995025;284.74;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2018;14658;5063964;289.46;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2019;14943;5136347;290.93;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2020;14440;5219522;276.65;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2021;13250;5272727;251.29;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2022;15068;5363899;280.92;V. Mentales
046-049 V.Trastornos mentales y del comportamiento;Mujeres;2023;14521;5610155;258.83;V. Mentales
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1980;897;1684490;53.25;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1981;804;1721573;46.7;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1982;897;1748866;51.29;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1983;944;1777165;53.12;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1984;905;1804686;50.15;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1985;1006;1833591;54.87;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1986;1033;1879026;54.98;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1987;1174;1940681;60.49;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1988;1296;2007437;64.56;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1989;1328;2072463;64.08;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1990;1522;2136519;71.24;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1991;1552;2197924;70.61;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1992;1606;2264728;70.91;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1993;1765;2328741;75.79;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1994;2014;2397576;84;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1995;2150;2466010;87.19;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1996;2274;2540147;89.52;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1997;2360;2609082;90.45;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1998;2791;2683704;104;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;1999;3476;2753555;126.24;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2000;3547;2810300;126.21;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2001;3965;2872106;138.05;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2002;4148;2940001;141.09;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2003;4863;2989967;162.64;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2004;4731;3013230;157.01;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2005;5174;3020568;171.29;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2006;5239;3093602;169.35;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2007;5425;3133315;173.14;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2008;5764;3179764;181.27;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2009;6333;3252782;194.69;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2010;6570;3325137;197.59;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2011;6819;3406554;200.17;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2012;7376;3475406;212.23;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2013;7315;3535710;206.89;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2014;7829;3617044;216.45;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2015;8743;3684229;237.31;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2016;8636;3732871;231.35;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2017;8971;3789274;236.75;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2018;9123;3854490;236.69;VI-VIII. Nerviosas
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;2019;9153;3920576;233.46;VI-VIII. Nerviosas
